Product,Description,Conseils,Categories,Link
CB3 DÉFENSE HOMME,"Les bienfaits : HUILE SÈCHE PAILLETÉE, est un produit hydratant et nourrissant qui peut être utilisé sur le corps, les cheveux et le visage. Elle contient de l’huile de macadamia, qui est connue pour ses propriétés curatives. Le produit a une texture légère qui glisse facilement sur la peau et les cheveux. Il donne également à votre corps et à vos cheveux un fini scintillant pendant l’exposition au soleil ainsi qu’ en après le soleil pour réparer l’épiderme et rehausser la peau d’un voile irisé.",,"Cosmétologie médicale, Protection solaire",https://xenlaboratoires.com/product/cb3-defense-homme/
KELA MAG,"Les bienfaits : KELA MAG est une nouvelle génération de magnésium. Il se présente sous la forme de boîtes de 30 gélules de chélate d’acide aminé enrichi avec le Vitamine B6, ce qui offre une meilleure absorption et une meilleure tolérance digestive et de bénéficier plus efficacement des bienfaits du magnésium. KELA MAG contient également de la vitamine B6 qui coopère avec le magnésium dans les réactions enzymatiques, ce qui favorise une meilleure gestion du stress, de l’anxiété et de la fatigue. La vitamine B6 joue un rôle dans la synthèse de certains anticorps et de l’hémoglobine et aussi dans la synthèse de certains neurotransmetteurs en situation de stress : noradrénaline, dopamine. En plus d’apporter tous ces bienfaits, KELA MAG contribue à améliorer la santé des os et des dents, ainsi qu’à réguler la pression sanguine et le rythme cardiaque.",,"Compléments alimentaires, Neurologie, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-mag/
Hivrex Sirop,"Les bienfaits : Hivrex sirop est un dispositive médicale préconisé pour calmer et apaiser la toux (sèche, grasse, allergique, irritative) et jouer le rôle de mucorégulateur. L’ensemble des actifs présents agissent par plusieurs mécanismes au niveau de la gorge. Une action mécanique qui tapisse la muqueuse, ce qui permet d’apaiser et calmer les irritations et une action émolliente, mucorégulatrice et calmante sur l’hyperactivité bronchique.",,Dispositifs médicaux,https://xenlaboratoires.com/product/hivrex-sirop/
HIVREX,"Les bienfaits : Le complément alimentaire HIVREX contient une combinaison d’ingrédients naturels qui aident à renforcer votre système immunitaire. Hivrex est composé de divers ingrédients actifs, dont notamment : – La vitamine C : Elle améliore le système immunitaire et ses propriétés antioxydantes protègent l’organisme contre les radicaux libres. – Le sureau noir : bénéfique contre les infections et d’inflammations des voies respiratoires, – La Echinacea purpurea (Echinacée) : Elle a des propriétés anti-inflammatoires et antibactériennes.",,"Compléments alimentaires, Pédiatrie",https://xenlaboratoires.com/product/hivrex/
KELA VIT ALLAITEMENT,"Les bienfaits : KELA VIT allaitement est un complément alimentaire destiné aux femmes qui allaitent. Il aide à stimuler la sécrétion de lait, et complète également l’alimentation en vitamines, en minéraux et autres nutriments importants. L’extrait d’anis vert est traditionnellement utilisé pour favoriser la sécrétion du lait. La spiruline est une algue marine riche en protéines et en antioxydants, deux éléments essentiels dans la période qui suit la grossesse. Les principaux ingrédients actifs sont la vitamine B6, la vitamine C, le calcium, le magnésium, le fer et le zinc.",,"Compléments alimentaires, Gynécologie, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-vit-allaitement/
Ultra germina B15,"Les bienfaits : Le complément alimentaire « Notice Gastro germina » est composé de lactobacillus Reuteri, d’extrait de racine de pissenlit et de lithothamne. Il est disponible en deux présentations: boîte de 7 gélules et boîte de 15 gélules. Ce produit est utile pour améliorer l’équilibre du microbiote gastro-intestinal, régulariser l’acidité gastrique, soulager les troubles digestifs aigus et équilibrer la flore intestinale perturbée. Il est recommandé de prendre une gélule par jour, de préférence au moment des repas, pendant 7 à 15 jours.",,"Compléments alimentaires, Gastrologie",https://xenlaboratoires.com/product/ultra-germina-b15/
Lumi-R Eclat  SPF 40,"Les bienfaits : Lumi-R Eclat est la solution qui vous aidera à obtenir une peau durablement nette. Lumi-R Eclat unifie et illumine votre teint, tout en aidant à éliminer les taches brunes et en prévenant leur réapparition. Lumi-R Eclat est spécialement formulé pour soigner les peaux les plus sensibles, vous pouvez donc lui faire confiance quel que soit le type de votre peau. Innovation Sederma, le brevet LUMISPHERE ralentit puissamment la production de mélanine BACOLAMINE anti-oxydante et réduit la mélanine déjà oxydée en l’éclaircissant. Le Venuceane, puissant anti-oxydant activé par la lumière et la chaleur, limite la production de mélanine et la stimulation des mélanocytes, et protège des dommages causés par les UV. Enfin, les filtres anti UVA-UVB SPF 40 protègent et préviennent les dommages causés par le soleil.",,"Cosmétologie médicale, Hyperpigmentation",https://xenlaboratoires.com/product/lumi-r-eclat-spf-40/
KELA CAL SID,"Les bienfaits : KELA CAL SID est un complément alimentaire chélaté en calcium, vitamine D3 et silicium organique, à utiliser en cas de supplémentation en calcium. Utilisez KELA CAL SID en cas de déséquilibre acido-basique en association avec d’autres produits de notre gamme. KELA CAL SID ne doit être utilisé par les adultes que dans le cadre d’un régime alimentaire approprié, d’un mode de vie sain et sous la surveillance d’un médecin.",,"Compléments alimentaires, Vitamines et minéraux",https://xenlaboratoires.com/product/kela-cal-sid/
Gastro germina B7,"Les bienfaits : COMPOSITION : Compositions Quantité Lactobacillus Reuteri 20.10 9 UFC Extrait de racine de Pissenlit 250 mg Lithothamne 60 mg PRESENTATION : Ce produit est disponible sous 2 présentations: Boite de 7 gélules Boite de 15 gélules DANS QUELS CAS UTILISER CE COMPLEMENT ALIMENTAIRE ? Ce complément alimentaire est indiqué pour : – Améliorer l’équilibre du microbiote gastro-intestinal – Régulariser l’acidité gastrique – Soulager les troubles digestifs aigus – Equilibrer la flore intestinale perturbée par une antibiothérapie ou tout autre traitement médicamenteux UTILISATION ET POSOLOGIE : – 1 gélule par jour, le matin, à prendre de préférence au moment des repas ou selon les recommandations de votre professionnel de santé – Cure de 7 à 15 jours à renouveler si nécessaire",,"Compléments alimentaires, Gastrologie",https://xenlaboratoires.com/product/gastro-germina-b7/
ADOLOR FORT B30/B60,"Les bienfaits : ADOLOR Fort est une gélule à base de plantes (Harpagophtum) utilisée dans le traitement de l’arthrose, des douleurs articulaires, musculaires et tendineuses. La synergie des principes actifs est à l’origine des propriétés anti-inflammatoires et des propriétés analgésiques de l’Harpagophytum. ADOLOR Fort gélule est un anti-inflammatoire, son efficacité le rend particulièrement utile pour les personnes âgées ou affaiblies par de multiples traitements médicamenteux.",,"Compléments alimentaires, Orthopédie",https://xenlaboratoires.com/product/adolor-fort-b30-b60/
