Substance 1,Substance 2,Type interaction,Explication détaillée,Conduite à tenir
Fer,Calcium,CONFLIT,Le calcium réduit l'absorption du fer de 40-60% via compétition au niveau du transporteur DMT1 et inhibition directe.,"Séparer les prises d'au moins 2 heures. Prendre le fer à jeun le matin, le calcium le soir."
Fer,Zinc,CONFLIT,"Compétition d'absorption intestinale (transporteur DMT1 commun). À >25mg de zinc, l'absorption du fer chute significativement.",Espacer de 2h minimum. Ne pas dépasser 25mg zinc si fer pris le même jour.
Fer,Magnésium,CONFLIT,Le magnésium peut réduire l'absorption du fer par compétition intestinale et augmentation du pH gastrique.,Espacer de 2h.
Fer,Manganèse,CONFLIT,Compétition directe pour le transporteur DMT1. Le manganèse réduit l'absorption du fer et vice-versa.,Espacer les prises.
Fer,Cuivre,SYNERGIE,Le cuivre est indispensable au métabolisme du fer: la céruloplasmine (cuivre-dépendante) oxyde le Fe²⁺ en Fe³⁺ pour le transport par la transferrine.,Association bénéfique.
Fer,Chrome,CONFLIT PARTIEL,Le chrome trivalent peut compétitionner avec le fer pour l'absorption intestinale à forte dose.,Espacer si supplémentation à forte dose des deux.
Fer,Phosphore (phosphates),CONFLIT,Les phosphates alimentaires chélatent le fer et réduisent son absorption.,Éviter les boissons au cola et aliments riches en phosphates avec le fer.
Zinc,Cuivre,CONFLIT,Le zinc induit la métallothionéine intestinale qui piège le cuivre. >50mg zinc/j pendant >4 semaines → carence en cuivre certaine.,"Ratio optimal zinc/cuivre = 10:1. Si zinc prolongé, TOUJOURS ajouter du cuivre (1-2mg/j)."
Zinc,Calcium,CONFLIT,"Le calcium peut réduire l'absorption du zinc, surtout à forte dose (>500mg calcium).",Espacer les prises de 2h si gros dosages.
Zinc,Magnésium,COMPÉTITION,Compétition modérée pour l'absorption intestinale à haute dose.,"Aux doses normales, pas de problème clinique significatif."
Zinc,Phosphore,CONFLIT,Les phytates (acide phytique) chélatent le zinc et réduisent son absorption de 40-60%.,"Éviter le zinc avec les céréales complètes, légumineuses crues."
Calcium,Magnésium,COMPÉTITION,"À très forte dose simultanée, compétition pour les transporteurs intestinaux. Mais à dose physiologique, le magnésium régule le calcium.","Dose modérée ensemble: OK. Si Ca >500mg et Mg >400mg, séparer."
Calcium,Phosphore,SYNERGIE,"Forment ensemble l'hydroxyapatite Ca₁₀(PO₄)₆(OH)₂, composant principal de l'os.",Ratio optimal Ca/P = 1.5:1 à 2:1.
Calcium,Strontium,CONFLIT,Compétition d'absorption. Le calcium réduit l'absorption du strontium (ranélate de strontium).,Espacer de 2h si Protelos prescrit.
Magnésium,Potassium,SYNERGIE,Le magnésium régule les canaux potassiques. Carence en Mg → perte rénale de potassium.,Corriger le magnésium AVANT le potassium en cas de double carence.
Magnésium,Bore,SYNERGIE,Le bore améliore l'absorption et la rétention du magnésium.,Association bénéfique.
Sélénium,Mercure,PROTECTION,Le sélénium chélate le mercure (séléno-mercure inerte). Protection contre la toxicité mercurielle.,"Les gros poissons (thon, espadon) apportent à la fois mercure et sélénium."
Potassium,Sodium,ANTAGONISME,Le potassium contrebalance l'effet hypertenseur du sodium. Ratio K/Na important pour la TA.,"Augmenter les apports en potassium si alimentation salée (fruits, légumes)."
Fer,Vitamine C,SYNERGIE,"La vitamine C réduit le fer ferrique Fe³⁺ en fer ferreux Fe²⁺, augmentant l'absorption de 2 à 6 fois. Effet dose-dépendant.",Prendre ensemble — un des meilleurs combos en nutrition. 100mg vit C suffit.
Fer,Vitamine B9 (folate),SYNERGIE,Les deux sont essentiels à l'érythropoïèse. Carence combinée = anémie mégaloblastique + microcytaire.,"Association recommandée, surtout grossesse."
Fer,Vitamine B12,SYNERGIE,"Complémentaires pour la formation des globules rouges. Sans B12, le fer seul ne corrige pas l'anémie pernicieuse.",Vérifier les deux en cas d'anémie.
Fer,Vitamine A,SYNERGIE,La vitamine A améliore la mobilisation du fer stocké (ferritine) et l'incorporation dans l'hémoglobine.,Association utile dans les pays à double carence (fer + vit A).
Fer,Vitamine E,CONFLIT PARTIEL,La vitamine E à très haute dose peut réduire l'absorption du fer non-héminique.,Espacer si supplémentation en vitamine E à haute dose.
Fer,Vitamine B2 (riboflavine),SYNERGIE,La riboflavine est nécessaire à la mobilisation du fer et à la production d'hémoglobine.,Association bénéfique.
Zinc,Vitamine A,SYNERGIE,Le zinc est indispensable à la synthèse de la RBP (retinol-binding protein) qui transporte la vitamine A dans le sang.,"Sans zinc suffisant, la vitamine A reste piégée dans le foie."
Zinc,Vitamine C,SYNERGIE,"Double action immunostimulante. Ensemble, ils raccourcissent la durée du rhume de 33%.",Combinaison classique rhume/grippe.
Zinc,Vitamine B6,SYNERGIE,Co-facteurs dans >300 réactions enzymatiques. La B6 améliore l'absorption cellulaire du zinc.,Association bénéfique.
Zinc,Vitamine B9,SYNERGIE,Le zinc est nécessaire à l'activité des enzymes folate-dépendantes.,Association recommandée grossesse.
Zinc,Vitamine B8 (biotine),SYNERGIE,"Travaillent ensemble pour la santé des cheveux, ongles et peau (kératine).",Association capillaire classique.
Zinc,Sélénium,SYNERGIE,"Double action antioxydante complémentaire: Zn → SOD (superoxyde dismutase), Se → GPx (glutathion peroxydase).",Association recommandée anti-âge/immunité.
Calcium,Vitamine D,SYNERGIE,"La vitamine D est INDISPENSABLE à l'absorption du calcium. Sans vit D, seulement 10-15% du Ca est absorbé (vs 30-40% avec).",TOUJOURS associer calcium + vitamine D. Association essentielle.
Calcium,Vitamine K2,SYNERGIE,La vitamine K2 active l'ostéocalcine (fixe le Ca sur l'os) et la MGP (empêche le Ca de se déposer dans les artères).,Trio idéal: Ca + Vit D + Vit K2. Prévient l'ostéoporose SANS risque de calcification vasculaire.
Calcium,Vitamine C,SYNERGIE,"La vitamine C favorise la synthèse du collagène, matrice sur laquelle le calcium se fixe dans l'os.",Complémentarité pour la santé osseuse.
Magnésium,Vitamine B6,SYNERGIE,La B6 augmente la pénétration intracellulaire du magnésium de 20-40%. Duo anti-stress par excellence.,Association classique Mg + B6 (ex: Magne-B6).
Magnésium,Vitamine D,SYNERGIE,"Le magnésium est nécessaire à la conversion hépatique et rénale de la vitamine D en forme active (1,25-diOH-D3).","Sans magnésium suffisant, la vitamine D reste inactive."
Magnésium,Taurine,SYNERGIE,La taurine améliore la rétention cellulaire du magnésium et potentialise son effet sur le système nerveux.,Combinaison efficace stress/sommeil/crampes.
Sélénium,Vitamine E,SYNERGIE,Le sélénium (GPx) et la vitamine E sont antioxydants complémentaires. Le sélénium recycle la vitamine E oxydée.,Association anti-âge et protection cellulaire de référence.
Sélénium,Iode,SYNERGIE,Le sélénium (désiodases) convertit T4 en T3 active. Il protège aussi la thyroïde du H₂O₂ produit lors de la synthèse hormonale.,Co-facteurs thyroïdiens essentiels.
Chrome,Vitamine B3 (niacine),SYNERGIE,"Le chrome et la niacine forment le facteur de tolérance au glucose (GTF), améliorant la sensibilité à l'insuline.",Association intéressante pour le syndrome métabolique.
Chrome,Vitamine C,SYNERGIE,La vitamine C améliore l'absorption du chrome trivalent.,Prendre ensemble.
Cuivre,Vitamine C,CONFLIT à haute dose,"La vitamine C à très haute dose (>1g) peut réduire le cuivre en Cu⁺ pro-oxydant. Mais à dose normale, synergie pour la synthèse du collagène.",Dose normale: synergie. Dose élevée: prudence.
Iode,Fer,SYNERGIE,Carence en fer réduit l'activité de la thyroperoxydase (enzyme iode-dépendante). Double carence = hypothyroïdie sévère.,Corriger les deux carences simultanément.
Vitamine C,Vitamine E,SYNERGIE,La vitamine C régénère la vitamine E oxydée (radical tocophéryle → tocophérol). Cycle antioxydant perpétuel.,Duo antioxydant majeur. Prendre ensemble.
Vitamine C,Vitamine B9 (folate),SYNERGIE,La vitamine C protège le folate de l'oxydation dans le sang et améliore sa biodisponibilité.,"Association bénéfique, surtout grossesse."
