id,nom,type,telephone,adresse,gouvernorat,url
1,FARAH ZGOLLI,jour,+216 71 223 674,PLACE DE L'INDEPENDANCE Ettadhamen Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/farah-zgolli-8235.html
2,Hela  Ben Ayed,jour,+216 71 856 356,"555, Route de Raoued km7 Jaafar 2 Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/hela--ben-ayed--8544.html
3,Taieb Ben Othman,jour,+216 71 552 106,Place 14 Janvier Sidi Thabet Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/taieb-ben-othman-400.html
4,AMEL TEJ,jour,,Av. CHEIKH ENNEIFER - Imm ASWAR LA SOUKRA La Soukra Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/amel-tej-8238.html
5,Jihene Ayed,jour,+216 70 684 924,"342, CITE CHAKER Raoued Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/jihene-ayed-8258.html
6,KHEDIJA ALOULOU,jour,+216 71 754 731,Cité Commeciale Jamil El Menzah 6 Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/khedija-aloulou-556.html
7,Rayhane ZAIEM,jour,+216 71 553 325,Avenue Habib Bourguiba Sidi Thabet Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/-rayhane-zaiem--1296.html
8,Mustapha Mrad,jour,+216 71 719 859,Rue Ali Belhaouane - Résidence les Roses Ariana Ville Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/mustapha-mrad-456.html
9,FATMA KHALFALLAH EP. SAID,jour,+216 70 697 394,Avenue Chotrana n 31 Cite Essaha Borj Louzir Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/fatma-khalfallah-ep.-said-546.html
10,NEILA HAMDOUN EP. LARGUECHE,jour,+216 71 764 052,"57, Avenue de l'UMA en face de Bureau de Poste La Soukra Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/neila-hamdoun-ep.-largueche-627.html
11,Zeineb  Sakouhi,jour,+216 71 546 029,"638, Avenue 14 Janvier Ettadhamen Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/zeineb--sakouhi-608.html
12,Sélima Mzah Ep Azouz,jour,+216 71 758 111,Résidence Ezzayatine E1- Rue Cheikh Mohamed Enneifer La Soukra Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/selima-mzah-ep-azouz-38678.html
13,HAJER CHAARI,jour,+216 71 691 728,"75,rue Mustapha Mohsen Borj Louzir Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/hajer-chaari-1253.html
14,MONIA KCHIR MEMMI,jour,+216 70 693 059,"111, Avenue Jawdet El Hayet - Sidi Salah Chotrana 1 Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/monia-kchir-memmi-8232.html
15,NABIL KRIAA,jour,+216 71 757 752,"37, Avenue Aristote Cité El Ghazala Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/nabil-kriaa-968.html
16,ABDERRAHMEN JABEUR,jour,+216 70 835 820,Centre Commercial Géant Tunis City Kalaat Landlous Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/abderrahmen-jabeur-279.html
17,MOHAMED RIDHA BARBOUCH,jour,+216 70 563 534,"467, Route de Bizerte Km 5 - Cité Intilaka Mnihla Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/mohamed-ridha-barbouch-866.html
18,Fayez Khabthani,jour,+216 70 831 781,"54, Avenue Hedi Nouira Cité Ennasr 2 Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/fayez-khabthani-1184.html
19,KHEDIJA BELLAMINE EP HANNACHI,jour,+216 71 230 843,"15, Avenue Mouawia Ibn Abi Soufien El Menzah 5 Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/khedija-bellamine-ep-hannachi-145.html
20,RAOUDHA DOUIK EP. TAABOURY,jour,+216 71 514 964,Rue Khaled Ibn El Walid Cite Ettadhamen Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/raoudha-douik-ep.-taaboury-571.html
21,SEIFEDDINE BEN SLIMANE,jour,+216 71 537 610,Rte DE BIZERTE Cebalet Ben Ammar Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/seifeddine-ben-slimane-8231.html
22,HASSAN BEN HFAIEDH,jour,+216 70 689 110,"11 bis, Rue Abderrahman Mami Borj Louzir Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/hassan-ben-hfaiedh-320.html
23,NEJIB OUESLATI,jour,+216 71 866 347,Route de Raoued Km 5 Raoued Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/nejib-oueslati-1001.html
24,LILIA ABDENNEBI EP. NAKOURI,jour,+216 71 766 218,"14,Avenue de la Liberte C.C.Tej El Menzah 5 Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/lilia-abdennebi-ep.-nakouri-676.html
25,NEJIBA  FEKIH AHMED,jour,+216 70 822 303,Avenue Ibn Kholdoun Ariana Ville Ariana Tunisie,Ariana,https://www.med.tn/pharmacie/ariana/nejiba--fekih-ahmed-38699.html
26,NOUR ELHOUDA  BCHINI,jour,+216 70 687 385,"136, Route de Raoued Raoued Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/nour-elhouda--bchini--567.html
27,Aicha Gattoufi Ep Khamassi,jour,+216 71670760,"118, Avenue Ibn Khaldoun, En Face De Salon de Coiffure Boulbaba - Riadh El Andalous - 2080 Riadh Andalous Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/aicha-gattoufi-ep-khamassi-40935.html
28,ZEINEB AMMAR EP. KRICHEN,jour,+216 71 714 659,"44,Avenue Taieb M'Hiri Ariana Ville Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/zeineb-ammar-ep.-krichen-47.html
29,NABIL KRIAA,jour,+216 71 757 752,"37, Avenue Aristote Cité El Ghazala Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/nabil-kriaa-968.html
30,WASSILA BEN YAHMED EP. BEL HADJ,jour,+216 71 763 866,"35, Avenue Fethi Zouhir Route Raoued Km 1 Raoued Ariana Tunisie",Ariana,https://www.med.tn/pharmacie/ariana/wassila-ben-yahmed-ep.-bel-hadj-870.html
