drug_class_id,drug_class_name,therapeutic_area,mechanism_of_action_summary,clinical_use_scope,complexity_level
DC001,ACE Inhibitors,Cardiology,Inhibition of angiotensin-converting enzyme reducing angiotensin II,Hypertension; Heart failure; Diabetic nephropathy,Medium
DC002,Angiotensin II Receptor Blockers (ARBs),Cardiology,Blockade of AT1 receptors reducing vasoconstriction,Hypertension; Heart failure; Diabetic nephropathy,Medium
DC003,Beta-Blockers (Cardioselective),Cardiology,Selective blockade of beta-1 adrenergic receptors,Hypertension; Angina; Heart failure; Post-MI,Medium
DC004,Beta-Blockers (Non-selective),Cardiology,Blockade of beta-1 and beta-2 receptors,Hypertension; Angina; Migraine prophylaxis; Glaucoma,Medium
DC005,Calcium Channel Blockers (Dihydropyridine),Cardiology,Inhibition of L-type calcium channels in vascular smooth muscle,Hypertension; Angina; Raynaud's,Low
DC006,Calcium Channel Blockers (Non-dihydropyridine),Cardiology,Inhibition of L-type calcium channels in heart and vessels,Atrial fibrillation; Angina; Hypertension,Medium
DC007,Thiazide Diuretics,Cardiology,Inhibition of Na-Cl cotransporter in distal tubule,Hypertension; Edema; Heart failure,Low
DC008,Loop Diuretics,Cardiology,Inhibition of Na-K-2Cl cotransporter in loop of Henle,Edema; Heart failure; Hypertension; Renal failure,Medium
DC009,Potassium-sparing Diuretics,Cardiology,Antagonism of aldosterone or inhibition of ENaC,Heart failure; Hypertension; Cirrhosis,Medium
DC007,Aldosterone Antagonists,Cardiology,Competitive antagonism of mineralocorticoid receptor,Heart failure; Post-MI; Resistant hypertension,Medium
DC010,Statins,Cardiology,Inhibition of HMG-CoA reductase,Hyperlipidemia; Cardiovascular risk reduction,Low
DC011,Ezetimibe,Cardiology,Inhibition of intestinal cholesterol absorption,Hyperlipidemia; Add-on to statins,Low
DC012,PCSK9 Inhibitors,Cardiology,Monoclonal antibodies increasing LDL receptor recycling,Hyperlipidemia; Familial hypercholesterolemia,High
DC013,Fibrates,Cardiology,Activation of PPAR-alpha reducing triglycerides,Hypertriglyceridemia; Mixed dyslipidemia,Low
DC014,Omega-3 Fatty Acids,Cardiology,Reduction of triglyceride synthesis,Hypertriglyceridemia,Low
DC015,Nitrates,Cardiology,Vasodilation via nitric oxide release,Angina; Heart failure,Low
DC016,Antiplatelet Agents (Aspirin),Cardiology,Irreversible COX-1 inhibition reducing thromboxane A2,Secondary prevention of cardiovascular events,Low
DC017,P2Y12 Inhibitors (Clopidogrel),Cardiology,Irreversible inhibition of platelet P2Y12 receptor,Acute coronary syndrome; Post-stent,Medium
DC018,Direct Oral Anticoagulants (DOACs),Cardiology,Direct inhibition of factor Xa or thrombin,Atrial fibrillation; VTE treatment/prophylaxis,Medium
DC019,Warfarin,Cardiology,Inhibition of vitamin K-dependent clotting factors,Atrial fibrillation; VTE; Mechanical valves,High
DC020,Heparin (Unfractionated),Cardiology,Activation of antithrombin III,Acute VTE; ACS; DVT prophylaxis,Medium
DC021,Low Molecular Weight Heparin,Cardiology,Activation of antithrombin III with factor Xa specificity,VTE treatment/prophylaxis; ACS,Medium
DC022,Digoxin,Cardiology,Inhibition of Na/K-ATPase increasing intracellular calcium,Heart failure; Atrial fibrillation,High
DC023,Amiodarone,Cardiology,Multichannel blocker (K, Na, Ca, beta-blocking),Ventricular and supraventricular arrhythmias,High
DC024,Lidocaine (IV),Cardiology,Na channel blocker (Class Ib),Ventricular arrhythmias; Post-MI,High
DC025,Ivabradine,Cardiology,Inhibition of funny current in SA node,Stable angina; Heart failure,Medium
DC026,Ranolazine,Cardiology,Inhibition of late Na current,Chronic angina,Medium
DC027,Metformin,Endocrinology,Activation of AMPK reducing hepatic glucose output,Type 2 diabetes,Low
DC028,Sulfonylureas,Endocrinology,Stimulation of insulin secretion from pancreatic beta cells,Type 2 diabetes,Low
DC029,DPP-4 Inhibitors,Endocrinology,Inhibition of DPP-4 increasing incretin levels,Type 2 diabetes,Low
DC030,GLP-1 Receptor Agonists,Endocrinology,Activation of GLP-1 receptors increasing insulin and reducing glucagon,Type 2 diabetes; Obesity,Medium
DC031,SGLT2 Inhibitors,Endocrinology,Inhibition of renal glucose reabsorption,Type 2 diabetes; Heart failure; CKD,Medium
DC032,Thiazolidinediones,Endocrinology,Activation of PPAR-gamma improving insulin sensitivity,Type 2 diabetes,Medium
DC033,Insulin (Rapid-acting),Endocrinology,Replacement of insulin for glycemic control,Type 1 diabetes; Type 2 diabetes,High
DC034,Insulin (Long-acting),Endocrinology,Basal insulin replacement,Type 1 diabetes; Type 2 diabetes,High
DC035,Alpha-glucosidase Inhibitors,Endocrinology,Inhibition of intestinal carbohydrate absorption,Type 2 diabetes,Low
DC036,Amylin Analogs,Endocrinology,Activation of amylin receptors reducing glucagon and delaying gastric emptying,Type 1 diabetes; Type 2 diabetes,High
DC037,Dopamine Agonists (Bromocriptine),Endocrinology,Activation of dopamine receptors in hypothalamus,Type 2 diabetes,Medium
DC038,Bile Acid Sequestrants,Endocrinology,Binding bile acids increasing insulin sensitivity,Type 2 diabetes,Low
DC039,Levothyroxine,Endocrinology,Replacement of thyroid hormone,Hypothyroidism,Low
DC040,Antithyroid Drugs (Methimazole),Endocrinology,Inhibition of thyroid peroxidase,Hyperthyroidism,Medium
