Population / Condition,Substance,Type alerte,Sévérité,Explication détaillée,Conduite à tenir
Grossesse,Vitamine A (rétinol) > 10 000 UI/j,CONTRE-INDIQUÉ,haute,"Tératogène prouvé: malformations crâniennes, cardiaques et du SNC. La trétinoïne orale (Roaccutane) est formellement CI.",Maximum 5000 UI/j de vitamine A préformée. Préférer le bêta-carotène (non tératogène). ARRÊTER Roaccutane 1 mois avant conception.
Grossesse,Acide folique (vitamine B9),ESSENTIEL,haute,"Prévient les anomalies du tube neural (spina bifida, anencéphalie). Réduction du risque de 70%.",400 µg/j dès le PROJET de grossesse (au moins 1 mois avant conception) et pendant tout le 1er trimestre. 5mg/j si ATCD ou sous antiépileptique.
Grossesse,Fer,SOUVENT NÉCESSAIRE,modérée,Les besoins en fer triplent pendant la grossesse (30mg/j vs 8mg/j normalement). 50% des femmes enceintes sont carencées.,Doser la ferritine au T1. Supplémenter si ferritine <30 µg/L. Fer + folate = association de référence grossesse.
Grossesse,Vitamine D,NÉCESSAIRE,modérée,"Carence fréquente. Risque de pré-éclampsie, diabète gestationnel, faible poids de naissance.",Doser la 25-OH-D3. Supplémenter: 600-1000 UI/j. Dose de charge si carence sévère.
Grossesse,Iode,NÉCESSAIRE,modérée,Les besoins en iode augmentent de 50% pendant la grossesse (thyroïde fœtale). Carence → crétinisme.,200 µg/j pendant grossesse et allaitement. Sel iodé + aliments marins.
Grossesse,Oméga 3 DHA,RECOMMANDÉ,modérée,"Le DHA est essentiel au développement cérébral et rétinien du fœtus, surtout au 3ème trimestre.",200-300 mg DHA/j. Poissons gras 2x/sem OU supplément purifié (sans métaux lourds).
Grossesse,Millepertuis,CONTRE-INDIQUÉ,haute,Risque d'interactions avec les médicaments obstétricaux. Manque de données de sécurité. Augmente l'utérotonisme chez l'animal.,NE PAS utiliser pendant la grossesse.
Grossesse,Valériane,CONTRE-INDIQUÉ (par précaution),modérée,Données insuffisantes sur la sécurité. Composés potentiellement mutagènes (valepotriates) dans certaines préparations.,"Éviter. Alternatives: mélisse (OK), tilleul (OK), magnésium."
Grossesse,Ginseng,DÉCONSEILLÉ,modérée,Activité œstrogénique possible des ginsénosides. Manque de données de sécurité.,Par précaution: éviter.
Grossesse,Échinacée,PROBABLEMENT SÛR au T1,faible,Étude prospective: pas d'augmentation des malformations. Mais données limitées.,Court terme au T1: probablement OK. Éviter au long cours par précaution.
Grossesse,Actée à grappes noires,CONTRE-INDIQUÉ,haute,Activité œstrogénique possible → risque d'interruption de grossesse.,NE PAS utiliser pendant la grossesse.
Grossesse,Soja (isoflavones concentrées),DÉCONSEILLÉ,modérée,Les isoflavones à forte dose (compléments) ont une activité œstrogénique. Le soja alimentaire normal est sûr.,Soja alimentaire: OK. Compléments d'isoflavones concentrées: à éviter.
Grossesse,Réglisse (glycyrrhizine),CONTRE-INDIQUÉ,haute,"La glycyrrhizine traverse le placenta et inhi be la 11β-HSD2 placentaire → surexposition du fœtus au cortisol → faible poids, prématurité, troubles cognitifs.",ÉVITER la réglisse pendant la grossesse. Y compris les bonbons et les tisanes.
Grossesse,Aloe vera (oral),CONTRE-INDIQUÉ,haute,L'aloïne (anthraquinone) est utérotonique → risque de fausse couche.,Aloe vera topique: OK. Aloe vera oral (jus): INTERDIT.
Grossesse,Caféine,LIMITER,modérée,La caféine >300mg/j augmente le risque de fausse couche de 36% et le risque de RCIU.,"Maximum 200mg/j = 1-2 tasses de café. Inclure thé, cola, chocolat dans le calcul."
Grossesse,Spiruline/Chlorella,PRUDENCE,modérée,"Risque de contamination (métaux lourds, BMAA) selon la source. Si certifiée pure: probablement sûr.",Uniquement de source certifiée. Éviter par précaution si doute sur la qualité.
Grossesse,Berbérine,CONTRE-INDIQUÉ,haute,La berbérine traverse le placenta → risque d'ictère néonatal (déplacement de la bilirubine de l'albumine). Utérotonique chez l'animal.,CONTRE-INDICATION ABSOLUE.
Grossesse,Vitamine B6,RECOMMANDÉ,faible,La B6 (10-25mg 3x/j) est le traitement de première intention des nausées de grossesse (sûr et efficace).,10-25mg 2-3x/j pour les nausées. Sûr aux doses recommandées.
Allaitement,Millepertuis,CONTRE-INDIQUÉ,haute,"L'hypéricine passe dans le lait maternel → effets sur le nourrisson (photosensibilité, coliques, somnolence).",NE PAS utiliser pendant l'allaitement.
Allaitement,Fenugrec,SYNERGIE (galactogogue),faible,Le fenugrec est utilisé traditionnellement comme galactogogue. Efficacité modérée dans les études.,Utilisable mais peut donner une odeur de sirop d'érable aux urines du bébé.
Allaitement,Sauge,CONTRE-INDIQUÉ,modérée,La sauge réduit la production de lait maternel (anti-galactogogue).,À utiliser uniquement pour le SEVRAGE. Pas pendant l'allaitement actif.
Allaitement,Menthe poivrée (topique sur sein),CONTRE-INDIQUÉ,modérée,L'huile essentielle de menthe peut réduire la lactation et irriter le nourrisson.,Ne pas appliquer sur ou autour du mamelon.
