Catégorie,Substance / Sujet,Règle,Importance,Explication détaillée,Conduite à tenir
TIMING,Fer,À JEUN le matin (30 min avant le petit-déjeuner),haute,L'absorption du fer est optimale à jeun (environnement acide gastrique). Les aliments réduisent l'absorption de 60%.,Estomac vide + vitamine C (100mg). Si intolérance: prendre pendant le repas (mais absorption réduite de 50%). Forme bisglycinate mieux tolérée.
TIMING,Magnésium,Le soir ou en 2 prises (matin + soir),modérée,Le magnésium a un effet relaxant (GABA). Une prise le soir favorise le sommeil. Fractionner améliore l'absorption.,Le soir au dîner ou au coucher. Si >300mg: fractionner. Certaines formes (glycinate) sont plus relaxantes.
TIMING,Calcium,Fractionné en 2-3 prises (max 500mg par prise),haute,L'absorption du calcium sature à ~500mg. Au-delà: excrétion rénale → calcul rénal + calcification vasculaire sans bénéfice osseux.,JAMAIS >500mg en une prise. 2-3 prises/j. Carbonate: PENDANT le repas (besoin d'acidité). Citrate: peu importe.
TIMING,Zinc,"Le soir, à distance du fer",modérée,Compétition avec le fer (même transporteur DMT1). Le zinc à jeun peut causer des nausées.,Prendre le zinc au dîner ou au coucher. Toujours avec un peu de nourriture pour éviter les nausées.
TIMING,Probiotiques,Estomac vide (30 min avant le repas) ou au coucher,modérée,L'acidité gastrique détruit une partie des bactéries. Estomac « presque vide » = pH plus élevé = meilleure survie.,"Le matin à jeun 30 min avant le petit-déjeuner, OU au coucher. Certaines souches (Saccharomyces boulardii, spore-formers) résistent au pH acide."
TIMING,Oméga 3,PENDANT le repas le plus gras,haute,Les oméga 3 sont des graisses → besoin de bile (libérée par les graisses alimentaires) pour être absorbés. Sans gras: absorption réduite de 75%.,Toujours PENDANT un repas contenant des lipides. Le dîner est souvent le plus gras.
TIMING,"Vitamines liposolubles (A, D, E, K)",PENDANT un repas gras,haute,Les vitamines liposolubles nécessitent des lipides alimentaires pour être absorbées (micelles biliaires).,"TOUJOURS avec un repas contenant des graisses (beurre, huile d'olive, avocat, noix)."
TIMING,Vitamine C,"Le MATIN, en 2-3 prises",modérée,La vitamine C est hydrosoluble (pas de stockage). L'excédent est éliminé en 2-4h. Fractionner = taux sanguin plus stable.,Le matin au petit-déjeuner. Si >500mg/j: fractionner. Ne pas prendre le soir (risque d'insomnie à haute dose).
TIMING,Vitamines B (complexe B),Le MATIN avec le petit-déjeuner,modérée,Les vitamines B sont énergisantes (cofacteurs de production d'ATP). Prise le soir → risque d'insomnie.,LE MATIN avec le petit-déjeuner. B6 à haute dose le soir → rêves vivides.
TIMING,Coenzyme Q10,PENDANT le repas le plus gras,modérée,Le CoQ10 est liposoluble. Absorption augmentée de 3x avec des lipides alimentaires.,Ubiquinol > ubiquinone en biodisponibilité. Avec repas gras.
TIMING,Mélatonine,30-60 minutes AVANT le coucher,haute,La mélatonine mimique la production naturelle vespérale. Trop tôt ou trop tard = inefficacité et somnolence matinale.,Commencer par 0.5-1mg. Dose optimale souvent basse. Plus n'est PAS mieux.
TIMING,Curcuma (curcumine),PENDANT un repas gras,modérée,La curcumine est liposoluble et très mal absorbée seule. Les lipides + la pipérine augmentent l'absorption de 2000%.,Avec un repas gras + poivre noir (pipérine). Ou forme liposomale/phytosome.
TIMING,Ashwagandha,Le SOIR de préférence,faible,L'ashwagandha est anxiolytique et favorise le sommeil (effet GABAergique + réduction cortisol).,Matin si fatigue/énergie. Soir si anxiété/sommeil. Ou matin + soir si stress chronique.
TIMING,Rhodiola,"Le MATIN, avant 14h",modérée,La rhodiola est stimulante et adaptogène. Prise le soir → insomnie chez certaines personnes.,Le matin à jeun. Ne pas prendre après 14h.
TIMING,Ginseng,Le MATIN,modérée,"Le ginseng est stimulant. Prise le soir → insomnie, agitation.","Le matin, avant le déjeuner. Pas le soir. Cure de 3-4 semaines avec pause de 1 semaine."
TIMING,Lévothyroxine,"LE MATIN À JEUN, 30-60 min avant tout",critique,"Tout aliment, supplément, café, thé réduit l'absorption. La lévothyroxine a une fenêtre d'absorption étroite.","AU RÉVEIL avec un verre d'eau. Attendre 30-60 min avant le petit-déjeuner, le café ou tout supplément."
TIMING,Bisphosphonates (alendronate),"LE MATIN À JEUN, eau plate uniquement",critique,"L'absorption est de seulement 1-5%. Réduite davantage par tout aliment ou cation divalent (Ca, Fe, Mg).",AU RÉVEIL. Debout ou assis 30 min après (prévention œsophagite). Eau plate uniquement.
TIMING,D-Mannose,"Estomac VIDE, 2h après un repas",modérée,Le D-mannose est absorbé rapidement et excrété dans l'urine. Prise à jeun maximise la concentration urinaire.,2g avant le coucher + 2g au réveil pour prévention cystite. Boire beaucoup d'eau.
FORME,Magnésium (choix de la forme),Formes bien absorbées vs mal absorbées,haute,"Bisglycinate, citrate, malate, taurinate: très bien absorbés et bien tolérés. Oxyde de magnésium: absorption 4% (presque rien), effet laxatif. Chlorure: bonne absorption mais irritant.","BISGLYCINATE pour le stress/sommeil (meilleure biodisponibilité, effet GABA). CITRATE pour effet laxatif voulu. MALATE pour la fatigue. ÉVITER L'OXYDE (sauf laxatif)."
FORME,Fer (choix de la forme),Bisglycinate vs sulfate vs fumarate,haute,"Sulfate ferreux: référence MAIS cause constipation, nausées, selles noires chez 50% des patients. Bisglycinate: même efficacité, 90% moins d'effets secondaires.",BISGLYCINATE de fer en première intention. Tolérance très supérieure. Sulfate: si coût est le critère.
FORME,Coenzyme Q10 (ubiquinol vs ubiquinone),Ubiquinol > ubiquinone,modérée,"L'ubiquinol (forme réduite) a une biodisponibilité 3-8x supérieure à l'ubiquinone. Après 40 ans, la conversion ubiquinone → ubiquinol diminue.",Préférer l'UBIQUINOL chez les >40 ans. L'ubiquinone suffit chez les jeunes.
FORME,Vitamine D (D3 vs D2),D3 > D2,modérée,La vitamine D3 (cholécalciférol) est 87% plus puissante que la D2 (ergocalciférol) pour élever la 25-OH-D3 sérique.,TOUJOURS utiliser la D3. La D2 est inférieure et métabolisme plus rapide.
FORME,Curcumine (absorption),Curcumine pure: 1% absorbée,haute,"La curcumine pure a une biodisponibilité pitoyable (1%). Solutions: pipérine (+2000%), phytosome (+29x), liposomale (+65x), nanoparticules.","TOUJOURS choisir une forme bioenhancée: Meriva (phytosome), Longvida (SLCP), CurcuWin, ou ajouter de la pipérine (5-10mg)."
FORME,Calcium (carbonate vs citrate),Citrate préférable dans la plupart des cas,modérée,"Carbonate: 40% de Ca élément, pas cher MAIS nécessite un estomac acide (pas d'IPP!). Citrate: 21% de Ca mais absorbable sans acidité.","Carbonate: avec le repas uniquement. Citrate: à tout moment, préférable sous IPP ou chez le senior (achlorhydrie)."
FORME,Oméga 3 (triglycérides vs esters éthyliques),TG > EE,modérée,La forme triglycéride (TG) naturelle est absorbée 70% mieux que les esters éthyliques (EE) synthétiques.,Préférer la forme TG. Les suppléments de qualité l'indiquent.
FORME,Zinc (choix de la forme),Picolinate ≈ bisglycinate > gluconate > oxyde,modérée,Le picolinate et le bisglycinate de zinc ont la meilleure biodisponibilité. L'oxyde de zinc est très mal absorbé.,"Picolinate ou bisglycinate en supplément oral. L'oxyde: seulement pour l'usage topique (crème solaire, crème change)."
FORME,Probiotiques (survie des souches),Gélules gastro-résistantes > gélules normales > poudre libre,modérée,"L'acidité gastrique détruit 99% des probiotiques en gélule standard. Les gélules gastro-résistantes (DR caps, delayed-release) protègent les bactéries.","Préférer les formes gastro-résistantes ou les souches naturellement résistantes (Saccharomyces boulardii, spore-formers)."
FORME,Vitamine B12 (cyanocobalamine vs méthylcobalamine),Méthylcobalamine préférable,modérée,La méthylcobalamine est la forme active directe (pas besoin de conversion). La cyanocobalamine nécessite une conversion et libère du cyanure (quantité infime mais inutile).,Préférer la méthylcobalamine (forme co-enzymée active). Sublingual si gastrite atrophique.
COMBINAISON,Multivitamines,Souvent sous-dosées et mal combinées,modérée,La plupart des multivitamines combinent TOUT ensemble (fer + calcium = -60% d'absorption). Doses trop faibles pour corriger une vraie carence.,Les multivitamines sont un 'filet de sécurité' mais ne corrigent PAS une carence. Préférer des suppléments individuels ciblés si carence documentée.
COMBINAISON,Maximum d'actifs par prise,3-4 maximum,modérée,"Au-delà de 3-4 compléments simultanés, les interactions s'additionnent et la compliance chute.","Regrouper par moment: matin (énergie), midi (digestion), soir (relaxation). Max 3-4 par prise."
COMBINAISON,Le trio anti-stress,Magnésium + B6 + Ashwagandha ou Rhodiola,faible,Le magnésium (relaxant neuromusculaire) + la B6 (neurotransmetteurs + pénétration Mg) + l'adaptogène (cortisol).,"Le combo anti-stress le plus efficace. Magnésium bisglycinate + B6 le soir, adaptogène selon le profil (Rhodiola matin / Ashwagandha soir)."
COMBINAISON,Le trio immunité,Vitamine C + Zinc + Vitamine D,faible,"Triple soutien immunitaire par des mécanismes complémentaires: C (phagocytose, lymphocytes), Zinc (thymus, NK), D (cathelicidine).",Association de PRÉVENTION de référence. Ajouter probiotiques pour l'axe intestin-immunité.
COMBINAISON,Le trio osseux,Calcium + Vitamine D3 + Vitamine K2,modérée,"Le calcium va dans les os (pas les artères): D3 absorbe le Ca, K2 l'envoie dans les os, pas dans les vaisseaux.",Association de RÉFÉRENCE pour l'ostéoporose. JAMAIS de calcium seul → risque cardiovasculaire.
COMBINAISON,Le duo cardiovasculaire,Oméga 3 + CoQ10,faible,"Oméga 3 (anti-inflammatoire, TG) + CoQ10 (énergie cardiaque, antioxydant mitochondrial).",Association complémentaire. Ajouter magnésium si arythmie.
COMBINAISON,Le duo capillaire,Zinc + Biotine (B8) + Fer (si carence),faible,"Zinc (kératine, division cellulaire folliculaire), biotine (synthèse kératine), fer (oxygénation du follicule).",Doser la ferritine AVANT de supplémenter en fer. Objectif ferritine >50 µg/L pour les cheveux.
DOSE,Vitamine D3,"Dose de charge possible, entretien QUOTIDIEN",haute,Dose de charge (si carence <20ng/mL): 50 000 UI/sem pendant 8 semaines. Entretien: 1000-4000 UI/JOUR. QUOTIDIEN et non trimestriel.,L'administration quotidienne est SUPÉRIEURE aux méga-doses mensuelles ou trimestrielles. Doser à 3 mois.
DOSE,Oméga 3 (EPA + DHA),1-2g/j santé centrale. Jusqu'à 4g/j si triglycérides,modérée,Santé générale: 500mg-1g EPA+DHA/j. Cardiovasculaire/dépression: 2g/j. Hypertriglycéridémie: 3-4g/j (avec suivi médical).,"Regarder la dose d'EPA+DHA, PAS la dose d'huile de poisson. Une gélule '1000mg huile de poisson' peut ne contenir que 300mg EPA+DHA."
DOSE,Zinc,Ne pas dépasser 40mg/j au long cours,haute,"Le zinc >40mg/j pendant >4 semaines inhibe la superoxyde dismutase (SOD), déplete le cuivre et altère l'immunité.",15-30mg/j pour la plupart des gens. Ajouter 1-2mg de cuivre si >25mg zinc/j au long cours.
DOSE,Vitamine C,200-500mg/j suffisent pour la plupart,modérée,La saturation plasmatique est atteinte à ~200mg/j. Au-delà: excrétion rénale. >2g/j: risque de lithiase oxalique.,"200-500mg/j pour la plupart. Jusqu'à 1g/j si fumeur, infection, stress. >1g/j: fractionner."
DOSE,Magnésium,300-400mg de Mg ÉLÉMENTAIRE par jour,modérée,Attention à confondre le poids du sel (ex: 500mg de citrate de magnésium = seulement 80mg de Mg élémentaire).,"Lire le Mg ÉLÉMENTAIRE sur l'étiquette, pas le poids du sel. 300-400mg de Mg élément = dose standard."
DOSE,Mélatonine,MOINS est MIEUX → 0.3-1mg souvent optimal,haute,Les doses commerciales (3-10mg) sont SUPRA-PHYSIOLOGIQUES. La dose physiologique est 0.3mg. Surdosage → efficacité MOINDRE + somnolence matinale + maux de tête.,Commencer par 0.3-0.5mg. Augmenter par paliers de 0.5mg si inefficace. La dose la plus basse efficace est la meilleure.
DOSE,Fer,Dose dépend du degré de carence,haute,Carence sans anémie: 30-80mg/j. Anémie ferriprive: 100-200mg/j. MAIS l'hepcidine monte après une dose → l'absorption chute de 50% pendant 24h.,ALTERNER jour J et jour J+1 (dosing alterné) → absorption totale SUPÉRIEURE de 34% vs quotidien.
DURÉE,Probiotiques,"Cure de 1-3 mois, ou en continu si bénéfice",faible,Les probiotiques sont transitoires (ne colonisent pas durablement). L'effet s'arrête souvent 2-4 semaines après l'arrêt.,Cure de 1-3 mois minimum pour évaluer l'effet. Certain·es bénéficient d'une prise continue.
DURÉE,"Adaptogènes (ginseng, rhodiola)","Cure de 4-6 semaines, pause de 1-2 semaines",modérée,Les adaptogènes peuvent perdre en efficacité (tachyphylaxie) et surstimulerl'axe HPA si pris en continu.,Cycles de 6 semaines ON / 2 semaines OFF. Ou alterner les adaptogènes.
DURÉE,Échinacée,Maximum 8 semaines continues,modérée,L'effet immunostimulant peut s'inverser (immunosuppression paradoxale) au-delà de 8 semaines.,Limitée à 2-3 semaines en aigu (infection). Maximum 8 semaines en prévention.
DURÉE,Fer (si carence),"3-6 mois minimum, APRÈS normalisation de la ferritine",haute,La ferritine met 3-6 mois à se reconstituer APRÈS la normalisation de l'hémoglobine. Arrêt trop tôt → rechute.,Doser la ferritine (pas juste l'Hb). Continuer jusqu'à ferritine >50 µg/L. Puis entretien si pertes persistantes.
DURÉE,Vitamine D,Souvent AU LONG COURS (automne-hiver minimum),modérée,La synthèse cutanée est nulle en hiver (latitude >35°N). La carence revient en quelques mois sans supplément.,"D'octobre à avril minimum. Année entière si peau foncée, voilée, ou peu d'exposition."
DURÉE,Mélatonine,Maximum 3-4 semaines en continu,modérée,L'usage prolongé peut réduire la production endogène et créer une dépendance psychologique.,Idéale pour le jet-lag ou le décalage ponctuel. Maximum 8 semaines. Puis pause de 2 semaines.
CONSERVATION,Probiotiques,Au réfrigérateur pour la plupart,modérée,"La plupart des souches (Lactobacillus, Bifidobacterium) sont thermosensibles et meurent à >25°C.","Réfrigérer. Exception: Saccharomyces boulardii, spore-formers (Bacillus) se conservent à T° ambiante."
CONSERVATION,Oméga 3,"Au réfrigérateur, à l'abri de la lumière",modérée,Les EPA/DHA s'oxydent très facilement (peroxydation lipidique) → odeur rance + formation d'aldéhydes toxiques.,Réfrigérer après ouverture. Ne pas consommer si odeur rance. Vérifier l'indice TOTOX du fabricant.
CONSERVATION,Vitamine C (acide ascorbique),"Sensible à l'air, l'eau, la lumière et la chaleur",modérée,L'acide ascorbique s'oxyde très rapidement au contact de l'air → brunissement (forme oxydée inactive).,"Conserver au sec et au frais. Préférer les formes stabilisées (Ester-C, ascorbyl palmitate) si conservation longue."
CONSERVATION,Vitamine D (huile),À l'abri de la lumière,faible,La vitamine D est photosensible. Flacon en verre foncé recommandé.,"Conserver au sec, à l'abri de la lumière. Pas au réfrigérateur (sauf formule spécifique)."
PRÉCAUTION,Avant toute chirurgie,Arrêter les compléments 2 semaines avant,haute,"Risque hémorragique (oméga 3, ginkgo, ail, vitamine E), interactions avec l'anesthésie (valériane, millepertuis), retard de cicatrisation.","ARRÊTER 2 semaines avant: ginkgo, ail, oméga 3 haute dose, vitamine E haute dose, valériane, millepertuis."
PRÉCAUTION,Polypharmacie (>5 médicaments),Risque d'interaction cumulatif,haute,Chaque complément ajouté à un patient polymédiqué augmente le risque d'interaction de façon exponentielle.,⚠️ TOUJOURS consulter le pharmacien/médecin si >3 médicaments. Vérifier les interactions de CHAQUE complément.
PRÉCAUTION,Compléments achetés en ligne,Risque de contamination et surdosage,haute,"Les compléments hors circuit pharmaceutique peuvent contenir des contaminants (métaux lourds, principes actifs non déclarés, surdosage).","Préférer les compléments de marques certifiées (pharmacie, GMP, HACCP). Vérifier la conformité réglementaire."
