Actif 1,Actif 2,Type interaction,Explication détaillée,Conduite à tenir
Rétinol (vitamine A),"AHA (acide glycolique, mandélique)",CONFLIT,"Double irritation: le rétinol et les AHA sont kératolytiques. Ensemble: rougeur, desquamation, brûlure. Le pH optimal des AHA (<4) irrite davantage une peau rétinolisée.","NE PAS appliquer le même soir. Alterner: rétinol soirs pairs, AHA soirs impairs. Ou: AHA le matin (avec SPF), rétinol le soir."
Rétinol,BHA (acide salicylique),CONFLIT MODÉRÉ,"Le BHA est liposoluble et pénètre les pores tandis que le rétinol renouvelle l'épiderme. Ensemble: irritation chez les peaux sensibles, toléré chez les peaux grasses habituées.",Possible pour peaux grasses si introduction progressive. Peaux sensibles: alterner.
Rétinol,Vitamine C (acide L-ascorbique),CONFLIT pH,"Le rétinol est actif à pH ~5.5-6, la vitamine C à pH <3.5. L'association destabilise les deux actifs et irrite.","Appliquer la vitamine C LE MATIN (antioxydant + photoprocteur), le rétinol LE SOIR (renouvellement). JAMAIS ensemble."
Rétinol,Niacinamide (vitamine B3),SYNERGIE,"La niacinamide apaise l'irritation du rétinol (anti-inflammatoire, renforcement barrière) et améliore sa tolérance.","EXCELLENT duo. Niacinamide en premier, rétinol par-dessus. La meilleure combinaison anti-âge."
Rétinol,Acide hyaluronique,SYNERGIE,L'acide hyaluronique hydrate et repulpe la peau. Compense la sécheresse induite par le rétinol.,"Appliquer l'HA en premier (sur peau humide), puis le rétinol. Aide à la tolérance."
Rétinol,Céramides,SYNERGIE,Les céramides renforcent la barrière cutanée. Contrebalancent l'effet desquamant du rétinol.,"Appliquer le rétinol, puis un sérum/crème aux céramides par-dessus. Réparation."
Rétinol,Peroxyde de benzoyle,INACTIVATION,Le peroxyde de benzoyle est un puissant oxydant qui DÉTRUIT chimiquement le rétinol (sensible à l'oxydation). Le rétinol est rendu inactif.,"⚠️ NE JAMAIS appliquer en même temps. Peroxyde de benzoyle le MATIN, rétinol le SOIR. Ou alterner les jours."
Rétinol,SPF (protection solaire),OBLIGATOIRE,Le rétinol amincit la couche cornée et sensibilise aux UV → risque accru de coup de soleil et photovieillissement paradoxal.,"SPF 30+ TOUS LES JOURS quand on utilise du rétinol, même par temps nuageux."
Rétinol,"Peptides (Matrixyl, Argireline)",SYNERGIE,Les peptides stimulent le collagène par des voies différentes du rétinol. Complémentaires anti-âge.,"Associer pour un effet anti-rides maximal. Peptides le matin, rétinol le soir."
"Rétinoïdes prescrits (trétinoïne, adapalène)",AHA/BHA,CONFLIT SÉVÈRE,Les rétinoïdes sur ordonnance (plus puissants que le rétinol cosmétique) + AHA/BHA = irritation sévère garantie.,NE PAS associer. Routine minimale: nettoyant doux + crème hydratante + SPF seulement.
Rétinol,"Huiles essentielles (agrumes, menthe)",CONFLIT,Les huiles essentielles sont souvent irritantes et photosensibilisantes. Association avec le rétinol: double irritation.,NE PAS appliquer sur un visage rétinolisé.
Vitamine C (L-ascorbic acid),Vitamine E (tocophérol),SYNERGIE MAJEURE,La vitamine C régénère la vitamine E oxydée par les radicaux libres. Ensemble: photoprotection 4x supérieure à chaque actif seul.,Association de référence. Combiner avec SPF = triple protection (Skinceuticals CE Ferulic).
Vitamine C,Acide férulique,SYNERGIE MAJEURE,L'acide férulique stabilise la vitamine C et double sa photoprotection (étude Duke Pinnell).,Le trio C + E + acide férulique est la formule antioxydante la plus étudiée au monde.
