moa_id,mechanism_name,biological_target,physiological_effect,therapeutic_benefit,risk_notes
MOA001,ACE Inhibition,Angiotensin-converting enzyme,Reduced angiotensin II; increased bradykinin,Lower BP; reduce proteinuria; heart failure,Angioedema; cough; hyperkalemia
MOA002,AT1 Receptor Blockade,Angiotensin II type 1 receptor,Block vasoconstriction and aldosterone release,Lower BP; heart failure; nephroprotection,Hyperkalemia; angioedema rare
MOA003,Beta-1 Adrenergic Blockade,Beta-1 adrenergic receptors in heart,Decreased HR; contractility; renin release,Hypertension; angina; heart failure; post-MI,Bradycardia; heart block; bronchospasm (if non-selective)
MOA004,Beta-2 Adrenergic Agonism,Beta-2 adrenergic receptors in bronchi,Bronchodilation,Relief of bronchospasm in asthma/COPD,Tachycardia; tremor; hypokalemia
MOA005,L-type Calcium Channel Blockade (Vascular),L-type calcium channels in vascular smooth muscle,Vasodilation; decreased peripheral resistance,Hypertension; angina,Headache; flushing; peripheral edema
MOA006,L-type Calcium Channel Blockade (Cardiac),L-type calcium channels in heart,Decreased SA/AV node conduction; negative inotrope,Atrial fibrillation; angina; hypertension,Bradycardia; heart block; constipation (verapamil)
MOA007,Na-Cl Cotransporter Inhibition,Na-Cl cotransporter in distal tubule,Increased sodium and water excretion,Hypertension; edema,Electrolyte imbalance; hyperuricemia
MOA008,Na-K-2Cl Cotransporter Inhibition,Na-K-2Cl cotransporter in thick ascending limb,Potent diuresis,Edema; heart failure; hypertension,Dehydration; hypokalemia; ototoxicity
MOA009,Mineralocorticoid Receptor Antagonism,Mineralocorticoid receptor,Block aldosterone effects; increased sodium excretion,Heart failure; resistant hypertension; cirrhosis,Hyperkalemia; gynecomastia (spironolactone)
MOA010,HMG-CoA Reductase Inhibition,HMG-CoA reductase,Reduced cholesterol synthesis,Lower LDL; cardiovascular risk reduction,Myopathy; liver enzyme elevation; diabetes risk
MOA011,NPC1L1 Inhibition,NPC1L1 in intestine,Reduced intestinal cholesterol absorption,Lower LDL,GI upset; myalgia (rare)
MOA012,PCSK9 Inhibition,PCSK9,Increased LDL receptor recycling,Lower LDL significantly,Injection site reactions; flu-like symptoms
MOA013,PPAR-alpha Activation,PPAR-alpha,Increased fatty acid oxidation; reduced triglycerides,Lower triglycerides; HDL increase,Dyspepsia; myopathy; gallstones
MOA014,NO-mediated Vasodilation,Guanylate cyclase in smooth muscle,Vasodilation,Relief of angina; heart failure,Headache; hypotension; tolerance
MOA015,COX-1 Inhibition (Irreversible),Cyclooxygenase-1,Reduced thromboxane A2 production,Anti-platelet effect; cardiovascular prevention,GI bleeding; ulceration
MOA016,P2Y12 Receptor Blockade,P2Y12 receptor on platelets,Inhibition of platelet aggregation,Prevent thrombosis in ACS/stents,Bleeding; TTP (clopidogrel rare)
MOA017,Factor Xa Inhibition,Factor Xa,Inhibition of coagulation cascade,Prevent/treat thrombosis,Bleeding; no reversal agent for some
MOA018,Direct Thrombin Inhibition,Thrombin (factor IIa),Inhibition of fibrin formation,Prevent/treat thrombosis,Bleeding; dyspepsia
MOA019,Vitamin K Antagonism,Inhibition of vitamin K-dependent factors (II, VII, IX, X),Reduced clotting factor synthesis,Anticoagulation,Bleeding; INR variability; drug interactions
MOA020,Antithrombin III Activation,Antithrombin III,Accelerated inactivation of thrombin and factor Xa,Anticoagulation,Bleeding; HIT (heparin)
MOA021,Na/K-ATPase Inhibition,Na/K-ATPase,Increased intracellular calcium in cardiac myocytes,Positive inotropy; AV node slowing,Arrhythmias; toxicity (nausea, vision)
MOA022,Multichannel Blockade (Amiodarone),Multiple cardiac ion channels,Class III antiarrhythmic effects,Various arrhythmias,Thyroid; pulmonary; liver; corneal deposits
MOA023,If Channel Inhibition,If channels in SA node,Slowing of sinus rate,Stable angina; heart failure,Bradycardia; visual disturbances
MOA024,Late Na Current Inhibition,Late sodium channels in myocytes,Reduced intracellular calcium overload,Chronic angina,QT prolongation; dizziness
MOA025,AMPK Activation,AMPK,Reduced hepatic glucose output; increased peripheral insulin sensitivity,Type 2 diabetes,GI upset; lactic acidosis (rare)
MOA026,ATP-sensitive K Channel Closure (Sulfonylureas),SUR1/Kir6.2 in beta cells,Insulin secretion,Type 2 diabetes,Hypoglycemia; weight gain
MOA027,DPP-4 Inhibition,DPP-4 enzyme,Increased GLP-1 and GIP levels,Type 2 diabetes,Low hypoglycemia; possible arthralgia
MOA028,GLP-1 Receptor Agonism,GLP-1 receptors,Increased insulin; decreased glucagon; delayed gastric emptying,Type 2 diabetes; obesity,Nausea; vomiting; pancreatitis risk; thyroid C-cell tumors
MOA029,SGLT2 Inhibition,SGLT2 in proximal tubule,Reduced glucose reabsorption,Type 2 diabetes; heart failure; CKD,UTI; euglycemic DKA; volume depletion
MOA030,PPAR-gamma Activation,PPAR-gamma,Increased insulin sensitivity,Type 2 diabetes,Weight gain; fluid retention; fracture risk; bladder cancer concern
MOA031,Insulin Receptor Agonism,Insulin receptors,Glucose uptake; glycogen synthesis; anabolism,Diabetes, Hypoglycemia; weight gain
MOA032,Alpha-glucosidase Inhibition,Alpha-glucosidase in intestine,Delayed carbohydrate absorption,Type 2 diabetes,Flatulence; diarrhea
MOA33,Amylin Receptor Agonism,Amylin receptors,Reduced glucagon; delayed gastric emptying; satiety,Type 1/2 diabetes,Nausea; hypoglycemia
MOA034,Thyroid Hormone Receptor Activation,Thyroid hormone receptors,Increased metabolism; growth; development,Hypothyroidism,Tachycardia; anxiety; osteoporosis
MOA035,Thyroid Peroxidase Inhibition,Thyroid peroxidase,Reduced thyroid hormone synthesis,Hyperthyroidism,Agranulocytosis; hepatotoxicity; rash
MOA036,Osteoclast Inhibition (Bisphosphonates),Farnesyl pyrophosphate synthase in osteoclasts,Reduced bone resorption,Osteoporosis; Paget's,GI irritation; osteonecrosis of jaw; atypical fracture
MOA037,RANKL Inhibition,RANKL on osteoclasts,Reduced osteoclast activity,Osteoporosis; bone metastases,Hypocalcemia; skin reactions; infection risk
