disease_id,disease_name,therapeutic_area,chronic_or_acute,severity_level,brief_clinical_description,typical_patient_profile,common_comorbidities
DIS001,Essential Hypertension,Cardiology,Chronic,Moderate,Persistently elevated arterial blood pressure,Adults >40 years, obesity; family history,Diabetes; Dyslipidemia; Obesity
DIS002,Coronary Artery Disease,Cardiology,Chronic,Severe,Atherosclerosis of coronary arteries leading to ischemia,Smokers; hypertensive; hyperlipidemic,Diabetes; Hypertension; Heart failure
DIS003,Heart Failure with Reduced Ejection Fraction,Cardiology,Chronic,Severe,Inability of heart to pump sufficiently,Prior MI; hypertensive; elderly,COPD; Chronic kidney disease; Anemia
DIS004,Atrial Fibrillation,Cardiology,Chronic,Moderate,Irregular and rapid heart rate,Age >65; hypertensive; valvular disease,Heart failure; Stroke; Hypertension
DIS005,Acute Myocardial Infarction,Cardiology,Acute,Severe,Necrosis of heart muscle due to ischemia,Middle-aged/older with risk factors,Diabetes; Hypertension; Hyperlipidemia
DIS006,Stable Angina Pectoris,Cardiology,Chronic,Moderate,Chest pain due to reversible myocardial ischemia,Men >50; postmenopausal women,Coronary artery disease; Diabetes
DIS007,Hypertrophic Cardiomyopathy,Cardiology,Chronic,Severe,Thickened heart muscle without obvious cause,Young athletes; family history,Arrhythmias; Heart failure
DIS008,Long QT Syndrome,Cardiology,Chronic,Severe,Disorder of cardiac repolarization predisposing to arrhythmias,Children/young adults; family history,Syncope; Sudden cardiac death risk
DIS009,Rheumatic Heart Disease,Cardiology,Chronic,Moderate,Valvular damage from rheumatic fever,Children/young adults in developing countries,Atrial fibrillation; Heart failure
DIS010,Pulmonary Arterial Hypertension,Cardiology,Chronic,Severe,High blood pressure in pulmonary arteries,Women 30-60; connective tissue disease,Right heart failure; Raynaud's
DIS011,Peripheral Artery Disease,Cardiology,Chronic,Moderate,Atherosclerosis of peripheral arteries,Smokers; diabetics >50,Coronary artery disease; Cerebrovascular disease
DIS012,Deep Vein Thrombosis,Cardiology,Acute,Severe,Blood clot in deep veins,Post-surgery; immobility; cancer,Pulmonary embolism; Post-thrombotic syndrome
DIS013,Type 1 Diabetes Mellitus,Endocrinology,Chronic,Severe,Autoimmune destruction of pancreatic beta cells,Children; adolescents; young adults,Autoimmune thyroiditis; Celiac disease
DIS014,Type 2 Diabetes Mellinois,Endocrinology,Chronic,Moderate,Insulin resistance and relative insulin deficiency,Obese adults; sedentary lifestyle,Hypertension; Dyslipidemia; Obesity
DIS015,Gestational Diabetes,Endocrinology,Acute,Moderate,Glucose intolerance during pregnancy,Pregnant women (2nd/3rd trimester),Pre-eclampsia; Future type 2 diabetes
DIS016,Hyperthyroidism (Graves' Disease),Endocrinology,Chronic,Moderate,Excess thyroid hormone production due to autoimmunity,Women 20-50; family history,Atrial fibrillation; Osteoporosis
