guideline_id,disease_name,recommended_drug_class,line_of_treatment,decision_factors,contraindications_summary
G001,Essential Hypertension,Thiazide Diuretics,1st Line,"Age <55, non-black, no comorbidities",Hypokalemia; Gout; Sulfa allergy
G002,Essential Hypertension,ACE Inhibitors,1st Line,"Age <55, diabetes, CKD",Pregnancy; Angioedema; Bilateral renal artery stenosis
G003,Essential Hypertension,Calcium Channel Blockers (Dihydropyridine),1st Line,"Age ≥55, black, isolated systolic HTN",Heart failure with reduced EF; edema
G004,Essential Hypertension,ARBs,1st Line,"Alternative if ACEi intolerant (cough)",Pregnancy; Bilateral renal artery stenosis
G005,Essential Hypertension,Beta-Blockers,1st Line,"Young women, hyperadrenergic, heart failure, post-MI",Asthma; Bradycardia; Heart block
G006,Essential Hypertension,Aldosterone Antagonists,2nd Line,"Resistant hypertension, primary aldosteronism",Hyperkalemia; Renal failure
G007,Essential Hypertension,Combination (ACEi + CCB),Add-on Therapy,"Inadequate response to monotherapy",As per components
G008,Type 2 Diabetes,Metformin,1st Line,"All patients at diagnosis, unless contraindicated",Renal impairment (eGFR<30); Liver disease; Metformin allergy
G009,Type 2 Diabetes,SGLT2 Inhibitors,2nd Line,"Established ASCVD, heart failure, CKD",Recurrent UTIs; DKA risk; elderly frailty
G010,Type 2 Diabetes,GLP-1 Receptor Agonists,2nd Line,"Established ASCVD, need weight loss",Personal history of medullary thyroid carcinoma; MEN2
G011,Type 2 Diabetes,DPP-4 Inhibitors,2nd Line,"Need low hypoglycemia risk, elderly",History of pancreatitis
G012,Type 2 Diabetes,Sulfonylureas,2nd Line,"Cost considerations, not high hypoglycemia risk",Severe renal impairment; elderly at risk of hypoglycemia
G013,Type 2 Diabetes,Insulin (Basal),3rd Line,"Severe hyperglycemia (A1c >10%), catabolic symptoms",Hypoglycemia unawareness
G014,Type 2 Diabetes,Thiazolidinediones,3rd Line,"No heart failure, need insulin sensitizer",Heart failure (NYHA III/IV); osteoporosis
G015,Type 1 Diabetes,Insulin (Rapid-acting),1st Line,"All patients, multiple daily injections or pump",Hypoglycemia unawareness
G016,Type 1 Diabetes,Insulin (Long-acting),1st Line,"Basal coverage",Hypoglycemia
G017,Type 1 Diabetes,Amylin Analogs,Add-on Therapy,"Inadequate postprandial control despite insulin",Gastroparesis; hypoglycemia
G018,Hyperthyroidism (Graves'),Antithyroid Drugs (Methimazole),1st Line,"First-line in most patients, especially young",Agranulocytosis; pregnancy (prefer PTU in first trimester)
G019,Hyperthyroidism (Graves'),Radioactive Iodine,2nd Line,"Relapse after drugs, elderly, toxic nodule",Pregnancy; lactation; severe ophthalmopathy
G020,Hyperthyroidism (Graves'),Surgery (Thyroidectomy),3rd Line,"Large goiter, suspicious nodule, patient preference",Pregnancy; high surgical risk
G021,Hypothyroidism (Hashimoto's),Levothyroxine,1st Line,"All patients with overt hypothyroidism",Untreated adrenal insufficiency; recent MI
G022,Osteoporosis,Bisphosphonates,1st Line,"Postmenopausal women, men at high fracture risk",Hypocalcemia; esophageal disorders; unable to stand upright
G023,Osteoporosis,Denosumab,2nd Line,"Renal impairment (eGFR<35), intolerance to oral",Hypocalcemia; risk of atypical fractures after stopping
G024,Osteoporosis,Teriparatide,2nd Line,"Very high fracture risk, failure of antiresorptives",Paget's; bone metastases; hypercalcemia; prior radiation
G025,Osteoporosis,Raloxifene (SERM),2nd Line,"Postmenopausal women, high spine fracture risk, low DVT risk",History of VTE; pregnancy
G026,GERD,Proton Pump Inhibitors (PPIs),1st Line,"Frequent symptoms (>2/week), erosive esophagitis",Concurrent atazanavir; hypomagnesemia (long-term)
G027,GERD,H2 Receptor Antagonists,1st Line,"Intermittent symptoms, mild disease",Acute intermittent porphyria
G028,GERD,Antacids,As needed,"Mild, infrequent heartburn",Renal failure (avoid magnesium)
G029,Peptic Ulcer Disease (H. pylori positive),PPI + Amoxicillin + Clarithromycin,1st Line,"H. pylori positive, no prior macrolide exposure",Penicillin allergy (use metronidazole)
G030,Peptic Ulcer Disease (H. pylori positive),PPI + Metronidazole + Tetracycline + Bismuth,2nd Line,"Prior macrolide exposure, resistance",Tetracycline contraindicated in pregnancy; renal impairment
G031,Crohn's Disease (Moderate),Corticosteroids (Systemic),Induction,"Severe symptoms, bridging to immunomodulator",Infection; poorly controlled diabetes; psychosis
G032,Crohn's Disease (Mild),5-ASA Compounds (Mesalamine),1st Line,"Mild colonic disease, no perianal",Salicylate allergy; renal impairment
G033,Crohn's Disease (Moderate-Severe),Anti-TNF Agents (Infliximab),1st Line (if high risk),"Young age, extensive disease, fistulizing",Heart failure (NYHA III/IV); demyelinating disease; active TB
G034,Crohn's Disease (Maintenance),Immunomodulators (Azathioprine),Maintenance,"Steroid-dependent, after induction",TPMT deficiency; myelosuppression; pregnancy
G035,Ulcerative Colitis (Mild-Moderate),5-ASA Compounds (Mesalamine),1st Line,"Proctitis or left-sided, extensive",Renal impairment; allergy
G036,Ulcerative Colitis (Severe),Corticosteroids (IV),Induction,"Hospitalized, severe flares",Infection; GI perforation
