Médicament,Supplément/Substance,Type interaction,Sévérité,Explication détaillée,Conduite à tenir
Warfarine (AVK),Vitamine K,ANTAGONISME DIRECT,haute,La vitamine K est l'antidote de la warfarine. Complètement antagoniste.,Apport stable en vit K alimentaire. Ne JAMAIS supplémenter en K sans avis.
Warfarine (AVK),Vitamine E (>400 UI),POTENTIALISATION,haute,La vitamine E inhibe la carboxylase vit K-dépendante et l'agrégation plaquettaire.,Ne pas dépasser 200 UI/j sous AVK. Surveillance INR.
Warfarine (AVK),Oméga 3 (>3g/j),POTENTIALISATION,modérée,L'EPA/DHA à haute dose ont un effet anti-plaquettaire → augmentation du risque hémorragique.,Jusqu'à 2g/j: OK. Au-delà: surveillance INR. Signaler au médecin.
Warfarine (AVK),Millepertuis,RÉDUCTION EFFICACITÉ,haute,Le millepertuis induit le CYP2C9 et CYP3A4 → métabolisme accéléré de la warfarine → chute de l'INR.,CONTRE-INDIQUÉ. Risque de thrombose par perte d'effet anticoagulant.
Warfarine (AVK),Ginkgo biloba,POTENTIALISATION,modérée,Le ginkgo inhibe le PAF (Platelet Activating Factor) → effet anti-plaquettaire additif.,Prudence. Déconseillé sous anticoagulants.
Warfarine (AVK),Ail (allicine),POTENTIALISATION,modérée,L'allicine inhibe la thromboxane synthétase → effet anti-plaquettaire additif.,Ail alimentaire normal: OK. Gélules d'ail concentré: surveillance INR.
Warfarine (AVK),Dong Quai (Angélique),POTENTIALISATION,modérée,Contient des coumarines naturelles → effet anticoagulant additif.,Déconseillé sous AVK.
Warfarine (AVK),Cranberry (canneberge),POTENTIALISATION,modérée,Inhibition du CYP2C9 → ralentissement du métabolisme de la warfarine.,Surveillance INR si consommation régulière.
Warfarine (AVK),Coenzyme Q10,RÉDUCTION EFFICACITÉ,modérée,Le CoQ10 a une structure chimique proche de la vitamine K2 → antagonisme possible.,Surveillance INR si ajout ou arrêt de CoQ10.
Warfarine (AVK),Danshen (Salvia miltiorrhiza),POTENTIALISATION,haute,Le danshen inhibe le CYP et a une activité anticoagulante propre → hémorragies rapportées.,CONTRE-INDIQUÉ sous AVK.
Antibiotiques (tous),Probiotiques,INTERACTION,faible,Les antibiotiques détruisent les probiotiques co-administrés mais les probiotiques limitent la diarrhée associée.,Prendre les probiotiques 2h APRÈS l'antibiotique. POURSUIVRE 2 semaines après la fin de l'antibiothérapie.
"NACO (rivaroxaban, apixaban)",Millepertuis,RÉDUCTION EFFICACITÉ,haute,Le millepertuis induit la P-gp et le CYP3A4 → réduction des taux de NACO.,CONTRE-INDIQUÉ. Risque thromboembolique.
NACO,Curcuma,POTENTIALISATION,modérée,Le curcuma inhibe le CYP3A4 et la P-gp → augmentation des taux de NACO.,Prudence sous NACO. Signaler la prise de curcuma.
Clopidogrel,Oméga 3,POTENTIALISATION,modérée,Effet anti-plaquettaire additif.,Prudence si forte dose d'oméga 3.
Aspirine,Ginkgo biloba,POTENTIALISATION,modérée,Double inhibition plaquettaire → risque hémorragique accru.,Déconseillé.
"Antihypertenseurs (IEC, ARA2)",Potassium,HYPERKALIÉMIE,haute,Les IEC/ARA2 réduisent l'excrétion rénale du K⁺. Ajout de K⁺ → hyperkaliémie → arythmie potentiellement mortelle.,⚠️ NE JAMAIS supplémenter en potassium sous IEC/ARA2 sans contrôle biologique.
Antihypertenseurs,Réglisse,ANTAGONISME,haute,La réglisse cause rétention de sodium + perte de potassium + HTA → annule l'antihypertenseur.,CONTRE-INDICATION de la réglisse sous antihypertenseur.
Antihypertenseurs,CoQ10,POTENTIALISATION,faible,Le CoQ10 a un léger effet hypotenseur propre (4-11 mmHg systolique).,Surveiller la TA. Ajustement posologique possible.
Antihypertenseurs,Ail,POTENTIALISATION,faible,L'ail réduit la TA de 5-8 mmHg en moyenne.,Surveillance TA si consommation importante.
Antihypertenseurs,Magnésium (IV),POTENTIALISATION,modérée,Le magnésium IV est un vasodilatateur → hypotension additive.,"Prudence en IV, oral: risque minime."
Bêta-bloquants,Caféine/Guarana/Maté,ANTAGONISME,modérée,La caféine augmente la fréquence cardiaque et la TA → antagonise les β-bloquants.,Limiter la caféine sous bêta-bloquants.
Inhibiteurs calciques,Pamplemousse,POTENTIALISATION,haute,Le pamplemousse inhibe le CYP3A4 → surdosage en inhibiteur calcique → hypotension sévère.,"⚠️ INTERDIT avec félodipine, nifédipine, amlodipine. Effet dure 72h."
Diurétiques thiazidiques,Calcium,HYPERCALCÉMIE,modérée,Les thiazidiques réduisent l'excrétion rénale du calcium → hypercalcémie si supplémenté.,Surveiller la calcémie si supplément de calcium sous thiazidique.
Diurétiques de l'anse (furosémide),Magnésium,DÉPLÉTION,haute,Le furosémide augmente la perte urinaire de magnésium → carence probable.,Supplémenter en magnésium si diurétique de l'anse au long cours.
Diurétiques hypokaliémiants,Réglisse,POTENTIALISATION,haute,Double perte de potassium → hypokaliémie sévère → arythmie.,CONTRE-INDIQUÉ.
Spironolactone,Potassium,HYPERKALIÉMIE,haute,La spironolactone épargne le potassium. Ajout de K⁺ → hyperkaliémie.,⚠️ NE JAMAIS supplémenter en potassium sous spironolactone.
Metformine,Berbérine,HYPOGLYCÉMIE ADDITIVE,haute,La berbérine active l'AMPK comme la metformine → double effet hypoglycémiant + risque d'acidose lactique.,⚠️ NE PAS associer. Risque d'hypoglycémie sévère.
Metformine,Chrome,POTENTIALISATION,modérée,Le chrome améliore la sensibilité à l'insuline → potentialise la metformine.,Surveillance glycémique. Adapter la dose de metformine si besoin.
Metformine,Cannelle,POTENTIALISATION,faible,La cannelle améliore modérément la sensibilité à l'insuline.,Surveillance glycémique.
Metformine,Vitamine B12,DÉPLÉTION,haute,La metformine réduit l'absorption de la B12 de 10-30% → carence en B12 chez 10-30% des patients après >3 ans.,DOSER la B12 annuellement. Supplémenter si carence.
Metformine,Acide alpha-lipoïque,POTENTIALISATION,modérée,L'ALA améliore la sensibilité à l'insuline → potentialise la metformine.,Surveillance glycémique renforcée.
Metformine,Gymnema sylvestre,POTENTIALISATION,modérée,Le gymnema réduit l'absorption du glucose intestinal et stimule les cellules β pancréatiques.,Risque d'hypoglycémie additive. Surveillance.
Sulfamides hypoglycémiants,Chrome,POTENTIALISATION,modérée,Risque d'hypoglycémie additive.,Surveillance glycémique.
Insuline,Chrome,POTENTIALISATION,modérée,Le chrome augmente la sensibilité à l'insuline → besoin en insuline peut diminuer.,Surveillance glycémique. Ajustement possible des doses d'insuline.
Insuline,Magnésium,SYNERGIE,faible,Le magnésium est nécessaire à la signalisation de l'insuline. Corriger la carence améliore la réponse insulinique.,Supplémenter en magnésium chez le diabétique carencé.
